,ID,EventName,Year,Month,DisasterType,DisasterSubtype,MainLandfallLocation,Flood,Slide,OFDAResponse,Appeal,Declaration,LandfallMagnitude(kph),LandfallPressure(mb),TotalDeaths,NoInjured,TotalDamage(000US$),TotalDamageAdjusted(000US$),CPI
90,STORM_KROVANH_2003,Krovanh,2003,8.0,Storm,Tropical cyclone,NorthEast,0.0,0.0,0.0,0.0,0.0,167.0,954.0,1.0,5.0,3200.0,5090.8,62.8584595
91,STORM_CHANTHU_2004,Chanthu,2004,6.0,Storm,Tropical cyclone,South Central Coast,0.0,0.0,0.0,0.0,0.0,129.0,976.0,14.0,5.0,7000.0,10845.76,64.54132928
92,STORM_MUIFA_2004,Muifa,2004,11.0,Storm,Tropical cyclone,South Central Coast,1.0,1.0,0.0,0.0,0.0,166.0,958.0,56.0,146.0,23000.0,35636.08,64.54132928
93,STORM_NAN_2005,,2005,8.0,Storm,Storm (General),North Central Coast,1.0,0.0,0.0,0.0,0.0,93.0,985.0,13.0,146.0,89730.0,139143.0,66.73105799
94,STORM_VICENTE_2005,Vicente,2005,9.0,Storm,Tropical cyclone,North Central Coast,0.0,0.0,0.0,0.0,0.0,92.0,987.0,8.0,146.0,20000.0,29971.05,66.73105799
95,STORM_DAMREY_2005,Damrey,2005,9.0,Storm,Tropical cyclone,South Central Coast,1.0,1.0,1.0,0.0,0.0,92.0,987.0,75.0,28.0,219250.0,328557.66,66.73105799
96,STORM_KAITAK _2005,KaiTak,2005,11.0,Storm,Tropical cyclone,South Central Coast,0.0,0.0,0.0,0.0,0.0,111.0,980.0,20.0,14.0,11000.0,16484.08,66.73105799
97,STORM_WASHI_2005,Washi,2005,7.0,Storm,Tropical cyclone,North Central Coast,0.0,0.0,0.0,0.0,0.0,65.0,997.0,124.0,146.0,89730.0,139143.0,66.73105799
98,STORM_NAN_2006,,2006,4.0,Storm,Storm (General),NorthWest,0.0,0.0,0.0,0.0,0.0,93.0,985.0,1.0,5.0,89730.0,139143.0,68.88375871
99,STORM_BILIS_2006,Bilis,2006,7.0,Storm,Tropical cyclone,NorthEast,1.0,1.0,0.0,0.0,0.0,35.0,1000.0,17.0,146.0,89730.0,139143.0,68.88375871
100,STORM_XANGSANE(MILENYO)_2006,Xangsane(Milenyo),2006,9.0,Storm,Tropical cyclone,South Central Coast,0.0,0.0,0.0,0.0,0.0,157.0,958.0,71.0,525.0,624000.0,905873.91,68.88375871
101,STORM_DURIAN(REMING)_2006,Durian(Reming),2006,11.0,Storm,Tropical cyclone,SouthEast,1.0,0.0,0.0,0.0,0.0,101.0,976.0,95.0,1360.0,456000.0,661984.78,68.88375871
102,STORM_NAN_2006_2,,2006,11.0,Storm,Hail,NorthEast,0.0,0.0,0.0,0.0,0.0,93.0,985.0,13.0,146.0,10000.0,14517.21,68.88375871
103,STORM_LEKIMA(HANNA)_2007,Lekima(Hanna),2007,9.0,Storm,Tropical cyclone,North Central Coast,1.0,0.0,1.0,0.0,0.0,129.0,970.0,96.0,150.0,191000.0,269588.22,70.8487927
104,STORM_PEIPAH_2007,Peipah,2007,11.0,Storm,Tropical cyclone,SouthEast,0.0,0.0,0.0,0.0,0.0,37.0,1007.0,124.0,146.0,89730.0,139143.0,70.8487927
105,STORM_FRANCISCO_2007,Francisco,2007,5.0,Storm,Tropical cyclone,Red River Delta,0.0,0.0,0.0,0.0,0.0,37.0,1007.0,124.0,146.0,89730.0,139143.0,70.8487927
106,STORM_TORAJI_2007,Toraji,2007,7.0,Storm,Tropical cyclone,NorthEast,1.0,0.0,0.0,0.0,0.0,55.0,996.0,124.0,146.0,100.0,141.15,70.8487927
107,STORM_06W_2007,06W,2007,8.0,,Tropical depression,North Central Coast,1.0,,0.0,0.0,0.0,33.0,1000.0,77.0,123.0,155000.0,218775.78,70.8487927
108,STORM_KAMMURI(JULIAN)_2008,Kammuri(Julian),2008,8.0,Storm,Tropical cyclone,NorthEast,1.0,1.0,0.0,0.0,0.0,51.0,1004.0,162.0,90.0,120000.0,163112.74,73.56874554
109,STORM_HAGUPIT(NINA)_2008,Hagupit(Nina),2008,9.0,Storm,Tropical cyclone,NorthEast,1.0,1.0,0.0,0.0,0.0,55.0,1000.0,46.0,61.0,63000.0,85634.19,73.56874554
110,STORM_MEKKHALA_2008,Mekkhala,2008,9.0,Storm,Tropical cyclone,North Central Coast,1.0,0.0,0.0,0.0,0.0,101.0,982.0,18.0,146.0,6500.0,8835.27,73.56874554
111,STORM_NOUL_2008,Noul,2008,11.0,Storm,Tropical cyclone,South Central Coast,1.0,0.0,0.0,0.0,0.0,40.0,993.0,17.0,8.0,1000.0,1359.27,73.56874554
112,STORM_18W_2008,18W,2008,9.0,,Tropical depression,North Central Coast,1.0,,0.0,0.0,0.0,55.0,996.0,22.0,6.0,18700.0,25418.4,73.56874554
113,STORM_ONDOY(KETSANA)_2009,Ondoy(Ketsana),2009,9.0,Storm,Tropical cyclone,South Central Coast,1.0,0.0,1.0,0.0,0.0,166.0,956.0,182.0,860.0,785000.0,1070836.49,73.30717672
114,STORM_PEPENG(PARMA)_2009,Pepeng(Parma),2009,10.0,Storm,Tropical cyclone,Red River Delta,0.0,0.0,0.0,0.0,0.0,101.0,996.0,124.0,146.0,200.0,272.82,73.30717672
115,STORM_MIRINAE(SANTI)_2009,Mirinae(Santi),2009,11.0,Storm,Tropical cyclone,South Central Coast,1.0,0.0,0.0,0.0,0.0,120.0,974.0,124.0,145.0,280000.0,381954.42,73.30717672
116,STORM_MUJIGAE_2009,Mujigae,2009,9.0,Storm,Tropical depression,North Central Coast,0.0,0.0,0.0,0.0,0.0,46.0,1004.0,124.0,146.0,89730.0,139143.0,73.30717672
117,STORM_SOUDELOR_2009,Soudelor,2009,7.0,Storm,Tropical cyclone,Red River Delta,0.0,0.0,0.0,0.0,0.0,37.0,1007.0,2.0,146.0,3980.0,5429.21,73.30717672
118,STORM_TD_20_2009,TD_20,2009,9.0,,Tropical depression,South Central Coast,1.0,,0.0,0.0,0.0,45.0,1000.0,9.0,146.0,2520.0,3437.59,73.30717672
119,STORM_CONSON(BASYANG)_2010,Conson(Basyang),2010,7.0,Storm,Tropical cyclone,North Central Coast,0.0,0.0,0.0,0.0,0.0,83.0,989.0,11.0,146.0,500.0,671.06,74.50944408
120,STORM_CHANTHU_2010,Chanthu,2010,7.0,Storm,Tropical cyclone,NorthEast,0.0,1.0,0.0,0.0,0.0,46.0,1007.0,10.0,3.0,15000.0,20131.68,74.50944408
121,STORM_MINDULLE_2010,Mindulle,2010,8.0,Storm,Tropical cyclone,North Central Coast,0.0,0.0,0.0,0.0,0.0,111.0,989.0,14.0,20.0,44000.0,59052.92,74.50944408
122,STORM_01W_2010,01W,2010,1.0,,Tropical depression,SouthEast,,,0.0,0.0,0.0,93.0,985.0,3.0,146.0,243.0,326.13,74.50944408
123,STORM_NAN_2011,,2011,6.0,Storm,Lightning/Thunderstorms,Red River Delta,1.0,0.0,0.0,0.0,0.0,93.0,985.0,16.0,63.0,89730.0,139143.0,76.86159538
124,STORM_HAIMA(EGAY)_2011,Haima(Egay),2011,6.0,Storm,Tropical cyclone,Red River Delta,0.0,0.0,0.0,0.0,0.0,64.0,996.0,13.0,80.0,12680.0,16497.19,76.86159538
125,STORM_NESAT_2011,Nesat,2011,9.0,Storm,Tropical cyclone,Red River Delta,0.0,0.0,0.0,0.0,0.0,111.0,978.0,124.0,146.0,89730.0,139143.0,76.86159538
126,STORM_HAITANG_2011,Haitang,2011,9.0,Storm,Tropical cyclone,North Central Coast,0.0,0.0,0.0,0.0,0.0,37.0,1007.0,25.0,146.0,5640.0,7337.86,76.86159538
127,STORM_NOCKTEN_2011,Nock-Ten,2011,7.0,Storm,Tropical cyclone,North Central Coast,0.0,0.0,0.0,0.0,0.0,65.0,996.0,20.0,146.0,89730.0,139143.0,76.86159538
128,STORM_KAI-TAK_2012,Kai-Tak,2012,8.0,Storm,Tropical cyclone,NorthEast,0.0,1.0,0.0,0.0,0.0,111.0,978.0,4.0,15.0,29900.0,38112.42,78.45211388
129,STORM_SONTINH(OFEL)_2012,SonTinh(Ofel),2012,10.0,Storm,Tropical cyclone,North Central Coast,1.0,0.0,0.0,0.0,0.0,166.0,956.0,11.0,90.0,336000.0,428286.74,78.45211388
130,STORM_GAEMI_2012,Gaemi,2012,10.0,Storm,Tropical cyclone,Central Highlands,1.0,0.0,0.0,0.0,0.0,65.0,996.0,124.0,146.0,89730.0,139143.0,78.45211388
131,STORM_PAKHAR_2012,Pakhar,2012,4.0,Storm,Tropical cyclone,SouthEast,0.0,0.0,0.0,0.0,0.0,74.0,998.0,9.0,146.0,48100.0,61311.29,78.45211388
